full_date,weekday,mood
2017-10-03,Tuesday,meh
2017-10-03,Tuesday,meh
2017-10-04,Wednesday,good
2017-10-05,Thursday,meh
2017-10-06,Friday,meh
2017-10-07,Saturday,good
2017-10-08,Sunday,good
2017-10-09,Monday,good
2017-10-10,Tuesday,good
2017-10-11,Wednesday,good
2017-10-12,Thursday,bad
2017-10-13,Friday,meh
2017-10-14,Saturday,good
2017-10-15,Sunday,meh
2017-10-16,Monday,good
2017-10-17,Tuesday,good
2017-10-18,Wednesday,meh
2017-10-19,Thursday,good
2017-10-20,Friday,meh
2017-10-21,Saturday,meh
2017-10-22,Sunday,meh
2017-10-23,Monday,meh
2017-10-24,Tuesday,good
2017-10-25,Wednesday,meh
2017-10-26,Thursday,good
2017-10-27,Friday,bad
2017-10-28,Saturday,bad
2017-10-29,Sunday,good
2017-10-30,Monday,good
2017-10-31,Tuesday,good
2017-11-01,Wednesday,good
2017-11-02,Thursday,meh
2017-11-03,Friday,good
2017-11-04,Saturday,good
2017-11-05,Sunday,good
2017-11-06,Monday,meh
2017-11-07,Tuesday,bad
2017-11-08,Wednesday,good
2017-11-09,Thursday,meh
2017-11-10,Friday,bad
2017-11-11,Saturday,bad
2017-11-12,Sunday,good
2017-11-13,Monday,good
2017-11-14,Tuesday,meh
2017-11-15,Wednesday,meh
2017-11-16,Thursday,good
2017-11-17,Friday,good
2017-11-18,Saturday,good
2017-11-19,Sunday,good
2017-11-20,Monday,bad
2017-11-21,Tuesday,meh
2017-11-22,Wednesday,good
2017-11-23,Thursday,good
2017-11-24,Friday,awful
2017-11-25,Saturday,meh
2017-11-26,Sunday,good
2017-11-27,Monday,meh
2017-11-28,Tuesday,bad
2017-11-29,Wednesday,good
2017-11-30,Thursday,meh
2017-12-01,Friday,bad
2017-12-02,Saturday,good
2017-12-03,Sunday,good
2017-12-04,Monday,good
2017-12-05,Tuesday,meh
2017-12-06,Wednesday,awful
2017-12-07,Thursday,good
2017-12-08,Friday,meh
2017-12-09,Saturday,good
2017-12-10,Sunday,good
2017-12-12,Tuesday,meh
2017-12-13,Wednesday,awful
2017-12-14,Thursday,meh
2017-12-16,Saturday,awful
2017-12-17,Sunday,meh
2017-12-18,Monday,meh
2017-12-19,Tuesday,good
2017-12-20,Wednesday,good
2017-12-21,Thursday,meh
2017-12-22,Friday,meh
2017-12-23,Saturday,good
2017-12-24,Sunday,good
2017-12-25,Monday,good
2017-12-26,Tuesday,good
2017-12-27,Wednesday,meh
2017-12-28,Thursday,good
2017-12-29,Friday,good
2017-12-31,Sunday,awful
2018-01-01,Monday,good
2018-01-02,Tuesday,good
2018-01-03,Wednesday,meh
2018-01-04,Thursday,meh
2018-01-05,Friday,meh
2018-01-06,Saturday,good
2018-01-07,Sunday,meh
2018-01-08,Monday,meh
2018-01-09,Tuesday,meh
2018-01-10,Wednesday,awful
2018-01-11,Thursday,good
2018-01-12,Friday,awful
2018-01-13,Saturday,meh
2018-01-14,Sunday,good
2018-01-15,Monday,awful
2018-01-16,Tuesday,meh
2018-01-17,Wednesday,awful
2018-01-18,Thursday,meh
2018-01-19,Friday,meh
2018-01-20,Saturday,good
2018-01-21,Sunday,bad
2018-01-22,Monday,awful
2018-01-23,Tuesday,bad
2018-01-24,Wednesday,meh
2018-01-25,Thursday,meh
2018-01-26,Friday,meh
2018-01-27,Saturday,good
2018-01-28,Sunday,meh
2018-01-29,Monday,meh
2018-01-30,Tuesday,meh
2018-01-31,Wednesday,meh
2018-02-01,Thursday,good
2018-02-02,Friday,meh
2018-02-04,Sunday,good
2018-02-05,Monday,bad
2018-02-06,Tuesday,bad
2018-02-07,Wednesday,good
2018-02-08,Thursday,good
2018-02-09,Friday,rad
2018-02-10,Saturday,good
2018-02-11,Sunday,bad
2018-02-12,Monday,meh
2018-02-13,Tuesday,meh
2018-02-14,Wednesday,meh
2018-02-15,Thursday,good
2018-02-16,Friday,meh
2018-02-17,Saturday,good
2018-02-18,Sunday,meh
2018-02-19,Monday,meh
2018-02-20,Tuesday,good
2018-02-21,Wednesday,meh
2018-02-22,Thursday,meh
2018-02-23,Friday,good
2018-02-24,Saturday,meh
2018-02-25,Sunday,good
2018-02-26,Monday,good
2018-02-27,Tuesday,good
2018-02-28,Wednesday,meh
2018-03-01,Thursday,meh
2018-03-02,Friday,meh
2018-03-03,Saturday,meh
2018-03-04,Sunday,meh
2018-03-05,Monday,meh
2018-03-06,Tuesday,meh
