average_breath,average_heart_rate,average_hrv,day,deep_sleep_duration,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
19.5,68.09,37,2021-11-30,5790,12210,8070,30480,26070
19.5,82,27,2021-12-01,30,30,0,1260,60
18.375,66.44,42,2021-12-01,5940,10230,4530,27120,20700
18.375,72,,2021-12-01,0,0,0,360,0
18.375,76.33,45,2021-12-02,0,150,0,1200,150
18.375,80,,2021-12-02,210,60,0,2340,270
17.75,65.61,48,2021-12-02,5220,13950,7620,27780,26790
17.75,71.67,40,2021-12-03,90,270,0,1080,360
17.75,82.17,,2021-12-03,0,240,60,1920,300
19.625,66.95,40,2021-12-03,6000,10080,9810,30000,25890
19.625,,,2021-12-03,0,0,0,300,0
19.625,75,49,2021-12-04,0,0,0,900,0
19,62.49,48,2021-12-04,3600,18690,9510,35460,31800
19,77.4,,2021-12-05,0,690,30,2940,720
19,76,51,2021-12-05,0,0,0,660,0
19,69.75,72,2021-12-05,360,480,30,2220,870
18.125,65.57,41,2021-12-05,7260,14820,10230,34620,32310
18.125,,,2021-12-06,0,30,0,540,30
18.125,77.44,,2021-12-06,0,390,120,2940,510
18.125,74.8,,2021-12-06,0,150,0,2160,150
19.375,68.22,33,2021-12-06,4290,8070,1620,15300,13980
19.375,82,21,2021-12-07,0,0,0,600,0
18.625,65.02,40,2021-12-07,7170,13320,8430,33300,28920
18.625,74.5,42,2021-12-08,0,0,0,720,0
19.5,66.29,40,2021-12-08,4230,13980,6180,25740,24390
19.5,82.12,,2021-12-09,0,450,390,2880,840
19.5,65.25,60,2021-12-09,0,1410,0,2100,1410
19.5,60.9,,2021-12-09,60,1410,0,4320,1470
19.625,65.32,40,2021-12-09,6690,14280,6810,28740,27780
19.625,87,34,2021-12-09,0,0,0,420,0
19.625,75.91,36,2021-12-10,240,2130,90,4680,2460
18.5,61.48,45,2021-12-10,7260,11490,7770,27900,26520
18.5,83,34,2021-12-10,0,0,0,480,0
18.5,80,31,2021-12-11,0,0,0,420,0
18.25,67.66,38,2021-12-11,6900,12600,8250,32460,27750
18.25,87,,2021-12-11,0,0,0,660,0
18.25,74,38,2021-12-12,0,30,0,1140,30
18.25,79,16,2021-12-12,0,0,0,420,0
18.25,79.29,,2021-12-12,0,780,120,2700,900
18.25,68,46,2021-12-12,0,0,0,480,0
18.25,70.25,66,2021-12-12,60,780,0,2700,840
18.25,60.14,73,2021-12-12,90,1170,0,2280,1260
18.125,66.42,35,2021-12-12,3660,15420,9090,29280,28170
18.125,70,,2021-12-12,0,0,0,420,0
18.125,86,,2021-12-13,60,120,0,2220,180
18.125,81,,2021-12-13,0,240,0,3240,240
18.125,67.67,39,2021-12-13,0,90,0,960,90
18.625,63.77,43,2021-12-13,5910,16140,7560,33360,29610
18.625,,,2021-12-14,0,240,0,1020,240
18.375,64.8,46,2021-12-14,4620,6180,7980,19620,18780
18.375,85,23,2021-12-15,0,0,0,780,0
18.375,85.67,31,2021-12-15,0,150,0,1020,150
19.375,65.92,48,2021-12-15,7170,18840,10410,38400,36420
19.375,81,,2021-12-16,0,0,0,600,0
19.25,68.61,37,2021-12-16,6450,13920,8340,29700,28710
19.25,,,2021-12-16,0,0,0,420,0
